BID,NODE,CAUSE,CAUSE_PHY,CHAINED,DEPTH_M,MARGIN_M,LIFT_M,GROUND,RUN_M,RUN_N,GFALL_M,PFALL_M,GGRAD_PCT,PGRAD_PCT,RIDGE_M,RIDGE_D,DSFALL_M,DSDIST_M,MAXREACH,QADF_M3D,QPK_LS,PLOTS_UP,SUBNET,SREQ_PCT,SREQM_PCT,DN_REQ,DN_NOW,STRACT_PCT,REDUCIBLE,SLACK_M,SLACKMID_M,RED_FULL,SLACKFUL_M,FULL_M,FULL_N,RED_T11,SLACK_T11,UPSIZE_KM,DN_UP,LINK_PCT,AUTO_PCT,WADI_PCT,HAZ_COV,E_REASON,ARTFALL_M,EMPTY_KM,ALT_N,ALT_DZ_M,LOWFLOW,HEAD,CHAIN_RT,CHAIN_POS,RED_SEQ,SLACKSEQ,RED_SEQT11,BLOCKER,FIX
131,18822,E,E,0,16.87,4.87,15.27,393.21,1978.5,6,-5.38,9.89,-0.2718,0.5,5.38,1978.5,19.16,4648.9,765.4,35.9,1.57,37,1,0.2538,0.2538,400,200,0.4669,0,-4.09,-4.09,0,-4.09,1978.5,6,1,2.94,1.978,250,0.0,100.0,94.2,93.5,WADI,0.0,0.498,0,0.0,1,21545,18822,0,0,-4.09,1,TRACTIVE,DELETE CORRIDOR
132,18563,E,E,1,12.09,0.09,10.49,373.16,6107.5,6,20.05,30.54,0.3282,0.5,0.0,0.0,4.52,1810.0,4270.6,65.8,2.92,68,1,0.4985,0.4985,250,200,0.4437,1,4.34,4.24,0,-10.21,8086.0,11,1,2.94,6.108,250,0.0,100.0,81.9,100.0,WADI,0.0,0.0,2,4.05,1,18822,18822,1,1,4.34,1,-,DELETE CORRIDOR
133,18834,C,C,0,18.79,6.79,17.19,395.19,2481.2,34,-4.78,12.41,-0.1928,0.5,7.57,1482.5,12.74,2773.5,1542.6,40.5,1.72,45,7,0.2263,0.2263,400,200,0.4669,0,-5.47,-5.47,0,-5.47,2481.2,34,1,3.15,2.481,250,11.5,100.0,0.0,70.6,-,0.0,0.763,0,0.0,1,42293,18834,0,0,-5.47,1,TRACTIVE,NO SEWER / RETHINK
134,18889,B,B,0,24.76,12.76,23.16,416.81,3897.0,2,-3.68,19.48,-0.0944,0.5,3.77,3876.9,1.22,764.6,3897.0,0.0,0.0,1,2,0.1725,-0.271,500,200,0.4669,0,-11.42,-15.08,0,-11.42,3897.0,2,1,3.2,3.897,250,0.0,100.0,0.0,65.3,-,0.0,3.897,0,0.0,1,18888,18889,0,0,-11.42,1,TRACTIVE,NO SEWER / RETHINK
135,18605,D,C,1,12.54,0.54,10.94,418.49,2261.7,7,-1.68,9.26,-0.0743,0.4095,2.9,1497.0,2.97,1938.2,1006.1,1275.9,38.73,1374,2,0.3855,0.3855,250,400,0.4669,1,0.86,0.86,0,-21.01,6158.7,8,0,-0.18,1.568,250,0.0,100.0,3.8,50.5,-,0.0,1.006,0,0.0,0,18889,18889,1,1,0.86,0,-,UPSIZE
136,18915,B,B,0,15.1,3.1,13.5,434.16,1330.3,2,-6.85,6.65,-0.515,0.5,6.85,1330.3,2.94,1587.0,1330.3,59.1,0.16,58,2,0.2668,0.2668,400,200,0.4669,0,-2.61,-2.61,0,-2.61,1330.3,2,1,1.95,1.33,250,0.0,100.0,11.1,13.8,-,0.0,1.33,0,0.0,1,18914,18915,0,0,-2.61,1,TRACTIVE,NO SEWER / RETHINK
137,18919,A,A,0,12.29,0.29,10.69,436.23,2218.8,37,0.4,11.09,0.0181,0.5,0.71,127.6,6.6,1556.7,549.3,109.0,2.09,145,2,0.4868,0.4868,250,200,0.4669,1,0.65,0.65,1,0.65,2218.8,37,1,5.44,2.219,250,26.7,100.0,6.5,44.9,-,0.0,1.087,0,0.0,1,44441,18919,0,1,0.65,1,-,UPSIZE
138,18921,C,C,0,14.21,2.21,12.61,430.01,1699.0,28,-4.11,8.49,-0.242,0.5,4.22,1655.2,28.63,5539.0,260.3,192.6,3.64,198,7,0.3701,0.3701,315,200,0.4669,0,-0.82,-0.82,0,-0.82,1699.0,28,1,4.41,1.699,315,27.0,100.0,0.0,36.7,-,0.0,0.598,0,0.0,1,41716,18921,0,0,-0.82,1,TRACTIVE,NO SEWER / RETHINK
139,18930,C,C,0,22.08,10.08,20.48,365.73,2587.7,4,-7.54,12.94,-0.2914,0.5,7.56,2567.7,8.94,1610.0,1412.7,6.1,0.4,26,1,0.1105,0.0426,700,200,0.4669,0,-9.17,-9.89,0,-9.17,2587.7,4,1,0.32,2.588,250,0.0,100.0,22.4,60.8,-,0.0,2.588,1,5.25,1,22163,18930,0,0,-9.17,1,TRACTIVE,NO SEWER / RETHINK
140,18962,C,C,0,12.15,0.15,10.55,386.22,2017.1,21,-2.88,7.67,-0.1429,0.3801,2.88,2017.1,6.25,1674.0,224.8,3709.4,98.4,3201,3,0.3726,0.3726,315,600,0.4669,1,2.25,2.25,1,2.25,2017.1,21,1,5.4,1.549,315,15.6,100.0,0.0,12.5,-,0.0,0.794,0,0.0,0,32192,18962,0,1,2.25,1,-,UPSIZE
141,19150,A,A,0,15.47,3.47,13.87,429.95,5746.9,28,14.86,28.73,0.2587,0.5,0.43,322.6,4.0,1537.7,1955.8,262.5,9.71,259,12,0.4396,0.4382,250,200,0.4669,1,6.68,5.45,1,6.68,5746.9,28,1,8.33,5.747,250,4.5,100.0,5.2,76.3,-,0.0,0.283,0,0.0,0,46434,19150,0,1,6.68,1,-,UPSIZE
142,19155,B,B,0,13.29,1.29,11.69,425.46,1234.1,22,-5.51,6.17,-0.4469,0.5,5.62,1191.8,1.67,1645.6,205.9,160.7,6.01,147,17,0.3959,0.3959,250,200,0.4669,1,0.62,0.62,1,0.62,1234.1,22,1,3.36,1.234,250,7.2,100.0,0.0,91.2,-,0.0,0.252,2,3.13,0,37321,19155,0,1,0.62,1,-,UPSIZE
143,19167,A,A,0,13.21,1.21,11.61,397.32,2381.1,24,0.3,11.91,0.0125,0.5,0.14,2213.2,6.3,1542.5,514.5,239.3,7.44,219,3,0.4493,0.4493,250,200,0.4669,1,4.16,3.94,1,4.16,2381.1,24,1,7.46,2.381,250,13.4,100.0,0.0,40.0,-,0.0,0.028,1,2.71,0,32769,19167,0,1,4.16,1,-,UPSIZE
144,19200,C,C,0,12.85,0.85,11.25,444.79,1014.2,19,-6.39,4.87,-0.6297,0.4799,6.39,1014.2,12.82,1674.6,115.3,521.5,17.2,487,8,0.3957,0.3957,250,250,0.4669,1,0.84,0.84,1,0.84,1014.2,19,1,2.65,0.851,250,12.9,100.0,0.0,52.0,-,0.0,0.129,0,0.0,0,40011,19200,0,1,0.84,1,-,UPSIZE
145,19261,B,B,0,19.14,7.14,17.54,323.44,1818.8,3,-8.45,9.09,-0.4645,0.5,8.95,1676.2,0.0,0.0,1079.4,0.0,0.06,0,22,0.1073,0.09,700,200,0.4669,0,-6.49,-6.57,0,-6.49,1818.8,3,0,-0.01,1.819,250,0.0,100.0,0.0,26.4,-,0.0,1.819,0,0.0,1,18756,19261,0,0,-6.49,0,GROUND,STATION
146,19323,B,B,0,31.06,19.06,29.46,327.51,3473.3,2,-12.09,17.37,-0.3481,0.5,13.26,3031.7,4.88,754.3,3473.3,0.0,0.0,0,22,-0.0487,-0.0605,0,200,0.4669,0,-17.86,-17.86,0,-17.86,3473.3,2,0,-4.9,3.473,250,0.0,100.0,0.0,57.0,-,0.0,3.473,0,0.0,1,21309,19323,0,0,-17.86,0,GROUND,STATION
147,19337,E,E,0,12.48,0.48,10.88,436.04,2266.0,21,0.45,11.33,0.0197,0.5,0.99,265.5,7.43,1979.5,489.8,30.8,1.5,38,25,0.4787,0.4787,250,200,0.4669,1,0.32,0.32,1,0.32,2266.0,21,1,5.65,2.266,250,30.9,100.0,91.0,95.1,WADI,0.0,1.878,0,0.0,1,48784,19337,0,1,0.32,1,-,DELETE CORRIDOR
148,19340,E,E,0,12.14,0.14,10.54,420.47,3435.2,13,6.64,17.18,0.1932,0.5,0.87,21.3,10.25,2408.5,844.2,68.2,3.23,102,43,0.496,0.496,250,200,0.4669,1,1.08,1.08,1,1.08,3435.2,13,1,7.58,3.435,250,15.8,100.0,69.6,86.5,WADI,0.0,2.538,0,0.0,1,46740,19340,0,1,1.08,1,-,DELETE CORRIDOR
149,19525,B,B,0,13.41,1.41,11.81,380.78,1358.1,4,-5.02,6.79,-0.3694,0.5,5.19,1029.7,0.0,0.0,1130.7,44.5,1.62,13,3,0.3963,0.3963,250,200,0.4669,0,-0.72,-0.72,0,-0.72,1358.1,4,1,3.76,1.358,250,0.0,100.0,0.0,63.5,-,0.0,0.199,0,0.0,1,24496,19525,0,0,-0.72,1,TRACTIVE,NO SEWER / RETHINK
150,19569,C,C,0,13.99,1.99,12.39,412.32,2250.6,23,-1.14,11.25,-0.0507,0.5,1.21,2225.8,8.68,1388.5,1613.8,1.8,0.11,5,31,0.4114,0.3059,250,200,0.4669,0,-1.2,-3.24,0,-1.2,2250.6,23,1,6.97,2.251,250,12.8,100.0,0.0,52.9,-,0.0,2.251,0,0.0,1,36886,19569,0,0,-1.2,1,TRACTIVE,NO SEWER / RETHINK
151,19703,B,B,0,14.38,2.38,12.78,424.34,1392.3,5,-6.31,6.47,-0.4536,0.4643,6.31,1392.3,0.56,1607.3,755.7,718.6,17.24,510,17,0.2934,0.2934,315,250,0.4669,0,-0.04,-0.04,0,-0.04,1392.3,5,1,2.44,1.392,315,0.0,100.0,0.0,12.7,-,0.0,0.067,0,0.0,0,23860,19703,0,0,-0.04,1,TRACTIVE,STATION
152,19858,E,E,0,12.04,0.04,10.44,317.54,1502.0,5,-2.93,7.51,-0.1953,0.5,3.22,950.6,0.08,25.6,868.7,75.2,3.17,20,5,0.4971,0.4971,250,200,0.4669,1,0.53,0.53,1,0.53,1502.0,5,1,5.74,1.502,250,0.0,100.0,85.2,87.1,WADI,0.0,1.486,0,0.0,1,19855,19858,0,1,0.53,1,-,DELETE CORRIDOR
153,8083,E,E,1,13.43,1.43,11.83,322.82,1310.6,7,-5.28,6.55,-0.4029,0.5,5.36,1285.1,0.0,0.0,437.3,170.3,6.33,126,5,0.3906,0.3906,250,200,0.3308,1,1.45,1.45,0,-8.41,2812.6,11,0,-0.52,1.311,250,0.0,0.3,98.2,100.0,WADI,0.0,0.0,0,0.0,0,19858,19858,1,0,-8.41,0,GROUND,DELETE CORRIDOR
154,8075,E,E,1,12.44,0.44,10.84,327.34,1263.2,5,-4.52,6.32,-0.3582,0.5,4.52,1263.2,0.11,1584.8,357.4,179.2,6.96,138,5,0.4651,0.4651,250,200,0.2358,1,2.83,2.83,0,-15.88,4075.9,15,0,-6.0,1.263,250,0.0,0.0,71.7,93.0,WADI,0.0,0.0,0,0.0,0,8083,19858,2,1,2.83,1,-,DELETE CORRIDOR
155,8074,D,C,1,13.57,1.57,11.97,335.54,753.5,2,-8.2,3.77,-1.0882,0.5,8.2,753.5,8.31,831.3,753.5,619.1,6.98,436,5,0.292,0.275,315,200,0.2298,1,0.37,0.23,0,-25.81,4829.4,16,0,-14.76,0.754,315,0.0,0.0,0.0,13.9,-,0.0,0.0,0,0.0,0,8075,19858,3,0,-7.1,0,GROUND,STATION
156,19866,B,B,0,17.01,5.01,15.41,325.35,852.5,3,-11.15,4.26,-1.3075,0.5,11.19,831.9,0.07,93.8,514.6,8.2,0.35,11,5,-0.0875,-0.0875,0,200,0.4669,0,-4.68,-4.68,0,-4.68,852.5,3,0,-1.99,0.852,250,0.0,100.0,0.0,10.3,-,0.0,0.852,0,0.0,1,18709,19866,0,0,-4.68,0,GROUND,STATION
157,20379,B,B,0,14.73,2.73,13.13,322.99,1160.7,3,-7.33,5.8,-0.6313,0.5,7.59,1140.4,1.04,395.6,610.5,0.0,0.04,0,22,0.2647,0.2647,400,200,0.4669,0,-2.3,-2.3,0,-2.3,1160.7,3,1,1.6,1.161,250,0.0,100.0,0.0,10.9,-,0.0,1.161,0,0.0,1,20377,20379,0,0,-2.3,1,TRACTIVE,NO SEWER / RETHINK
158,20426,B,B,0,14.69,2.69,13.09,324.03,2416.7,6,-1.0,12.08,-0.0415,0.5,2.02,577.0,0.0,0.0,1426.4,1.1,0.28,1,22,0.3889,0.3889,250,200,0.4669,0,-1.83,-1.83,0,-1.83,2416.7,6,1,6.99,2.417,250,0.0,100.0,0.0,31.0,-,0.0,2.417,0,0.0,1,19238,20426,0,0,-1.83,1,TRACTIVE,NO SEWER / RETHINK
159,7128,D,B,1,32.95,20.95,31.35,345.01,2074.2,4,-20.98,10.37,-1.0114,0.5,20.98,2074.2,7.17,1627.3,2016.4,169.0,0.41,78,22,-0.51,-0.51,0,200,0.4669,0,-20.21,-20.21,0,-32.5,4490.9,9,0,-15.55,2.074,250,0.0,2.6,0.0,3.0,-,0.0,2.074,0,0.0,1,20426,20426,1,0,-20.21,0,GROUND,STATION
160,20823,E,E,0,12.38,0.38,10.78,369.29,1021.6,5,-5.67,5.11,-0.5549,0.5,5.67,1021.6,3.24,1003.5,596.7,176.2,6.68,69,0,0.4631,0.4631,250,200,0.4669,1,0.2,0.2,1,0.2,1021.6,5,1,3.36,1.022,250,0.0,100.0,66.7,93.3,WADI,0.0,0.939,0,0.0,0,20607,20823,0,1,0.2,1,-,DELETE CORRIDOR
161,20832,A,A,0,12.42,0.42,10.82,369.89,2322.3,47,0.8,11.61,0.0343,0.5,0.93,519.8,3.14,1563.9,265.5,147.8,5.76,145,0,0.4821,0.4821,250,200,0.4669,1,2.54,2.54,1,2.54,2322.3,47,1,8.37,2.322,250,10.8,100.0,0.0,50.0,-,0.0,1.084,1,1.5,0,31313,20832,0,1,2.54,1,-,UPSIZE
162,21181,B,B,0,41.24,29.24,39.64,331.41,4123.6,3,-19.02,20.62,-0.4613,0.5,21.55,4023.6,0.0,0.0,3303.3,0.0,0.05,0,22,-0.2091,-0.2877,0,200,0.4669,0,-27.82,-29.7,0,-27.82,4123.6,3,0,-12.32,4.124,250,0.0,100.0,0.0,43.1,-,0.0,4.124,0,0.0,1,20977,21181,0,0,-27.82,0,GROUND,STATION
163,21197,C,C,0,18.91,6.91,17.31,399.49,1002.5,2,-12.3,5.01,-1.2267,0.5,12.32,982.5,16.15,2007.6,1002.5,0.0,0.0,0,0,-0.1894,-1.3448,0,200,0.4669,0,-6.53,-12.66,0,-6.53,1002.5,2,0,-3.25,1.003,250,0.0,100.0,0.0,30.6,-,0.0,1.003,0,0.0,1,21245,21197,0,0,-6.53,0,GROUND,STATION
164,21187,D,C,1,17.78,5.78,16.18,412.25,683.5,2,-12.77,3.42,-1.8678,0.5,13.1,643.3,28.91,1324.0,683.5,0.0,0.03,0,0,-0.3463,-0.3931,0,200,0.4669,0,-5.51,-5.51,0,-22.49,1686.1,3,0,-16.53,0.684,250,0.0,100.0,14.3,21.2,-,0.0,0.684,0,0.0,1,21197,21197,1,0,-5.51,0,GROUND,STATION
165,21329,E,E,0,12.67,0.67,11.07,437.92,1220.7,4,-4.96,6.1,-0.4064,0.5,7.37,933.8,9.32,1719.0,717.3,4.5,0.22,12,127,0.4455,0.4455,250,200,0.4669,0,-0.21,-0.21,0,-0.21,1220.7,4,1,3.92,1.221,250,0.0,100.0,60.0,61.4,WADI,0.0,1.221,0,0.0,1,21325,21329,0,0,-0.21,1,TRACTIVE,DELETE CORRIDOR
166,21378,B,B,0,14.4,2.4,12.8,417.06,1529.8,7,-5.15,7.65,-0.3364,0.5,5.58,1427.2,0.5,1573.1,515.6,35.3,1.42,44,43,0.3434,0.3434,315,200,0.4669,0,-1.84,-1.84,0,-1.84,1529.8,7,1,3.51,1.53,250,0.0,100.0,35.4,95.6,-,0.0,0.515,1,1.45,1,19357,21378,0,0,-1.84,1,TRACTIVE,NO SEWER / RETHINK
167,21515,C,C,0,12.33,0.33,10.73,400.35,2086.5,49,-0.3,10.43,-0.0143,0.5,4.0,469.0,3.45,188.3,237.8,156.4,5.98,161,7,0.4841,0.4841,250,200,0.4669,1,3.51,3.32,1,3.51,2086.5,49,1,3.85,2.087,250,23.3,100.0,13.3,36.6,-,0.0,0.641,0,0.0,0,44187,21515,0,1,3.51,1,-,UPSIZE
168,21653,B,B,0,12.14,0.14,10.54,392.61,1544.7,18,-2.82,7.72,-0.1823,0.5,2.82,1544.7,0.0,0.0,927.8,46.4,0.64,65,7,0.491,0.2244,250,200,0.4669,1,0.42,-2.83,1,0.42,1544.7,18,1,3.9,1.545,250,9.8,100.0,0.0,34.0,-,0.0,1.545,1,2.18,1,42265,21653,0,1,0.42,1,-,UPSIZE
169,18832,D,B,1,12.02,0.02,10.42,398.21,965.0,3,-5.6,4.82,-0.5799,0.5,5.6,965.0,0.0,0.0,758.6,214.6,2.33,241,7,0.4979,0.4979,250,200,0.4081,1,1.12,1.12,0,-8.91,2509.7,20,0,-0.49,0.965,250,0.0,100.0,0.0,100.0,-,0.0,0.0,0,0.0,1,21653,21653,1,0,-8.91,0,GROUND,STATION
170,18833,D,C,1,20.18,8.18,18.58,408.61,1635.9,2,-10.4,8.18,-0.6357,0.5,10.4,1635.9,14.34,3628.3,1635.9,214.6,8.19,241,7,0.0001,0.0001,0,200,0.2135,0,-3.59,-3.59,0,-22.8,4145.6,21,0,-12.12,1.636,400,0.0,100.0,0.0,28.8,-,0.0,0.0,0,0.0,0,18832,21653,2,0,-3.59,0,GROUND,STATION
171,22045,E,E,0,13.02,1.02,11.42,457.25,1000.7,23,-6.42,5.0,-0.6411,0.5,6.42,1000.7,6.03,1669.4,161.0,2111.2,2.53,2204,-1,0.3981,0.3981,250,200,0.4669,0,-0.07,-0.07,0,-0.07,1000.7,23,1,2.63,1.001,250,30.8,100.0,100.0,100.0,WADI,0.0,0.149,0,0.0,1,46179,22045,0,0,-0.07,1,TRACTIVE,DELETE CORRIDOR
172,22189,A,A,0,12.09,0.09,10.49,368.58,3968.0,38,7.89,18.37,0.1987,0.463,0.13,245.8,4.0,1173.1,704.3,1359.8,39.37,1338,1,0.4608,0.4608,250,400,0.4669,1,5.56,5.56,1,5.56,3968.0,38,1,7.65,3.471,250,9.5,100.0,14.2,87.0,-,0.0,0.769,0,0.0,0,38011,22189,0,1,5.56,1,-,UPSIZE
173,22202,E,E,0,12.34,0.34,10.74,349.88,714.6,8,-7.17,3.57,-1.0035,0.5,7.7,519.9,0.48,620.1,237.2,13.9,0.47,24,1,0.4519,0.4519,250,200,0.4669,0,-0.06,-0.06,0,-0.06,714.6,8,1,2.09,0.715,250,0.0,85.6,75.0,74.1,WADI,0.0,0.715,0,0.0,1,22293,22202,0,0,-0.06,1,TRACTIVE,DELETE CORRIDOR
174,22431,C,C,0,15.04,3.04,13.44,440.36,203.5,2,-12.42,1.02,-6.1053,0.5,12.99,183.2,77.07,1915.0,203.5,0.0,0.0,1,29,-0.9948,-0.9948,0,200,0.4669,0,-2.92,-2.92,0,-2.92,203.5,2,0,-2.78,0.204,250,0.0,100.0,0.0,0.0,-,0.0,0.204,0,0.0,1,22430,22431,0,0,-2.92,0,GROUND,STATION
175,22558,C,C,0,12.28,0.28,10.68,385.02,1176.7,8,-4.79,5.88,-0.4075,0.5,5.06,1094.8,6.6,1645.0,409.2,118.9,4.74,51,3,0.4764,0.4764,250,200,0.4669,1,1.06,1.06,1,1.06,1176.7,8,1,4.12,1.177,250,0.0,100.0,0.0,18.8,-,0.0,0.658,1,4.44,1,22476,22558,0,1,1.06,1,-,UPSIZE
176,23214,E,E,0,13.38,1.38,11.78,390.56,1566.7,21,-4.38,7.41,-0.2793,0.4728,5.34,1314.3,3.98,1874.6,219.7,634.6,20.63,367,3,0.3845,0.3845,250,250,0.4669,1,1.81,1.81,1,1.81,1566.7,21,1,4.25,1.225,250,0.0,100.0,45.7,72.9,WADI,0.0,0.345,0,0.0,0,22858,23214,0,1,1.81,1,-,DELETE CORRIDOR
177,24090,B,B,0,13.83,1.83,12.23,422.43,1165.0,13,-6.41,5.83,-0.5498,0.5,6.41,1165.0,0.25,168.8,364.7,396.4,9.5,314,17,0.3429,0.3429,315,200,0.4669,1,0.78,0.78,1,0.78,1165.0,13,1,2.52,1.165,315,7.6,100.0,0.0,11.9,-,0.0,0.136,0,0.0,0,37133,24090,0,1,0.78,1,-,UPSIZE
178,24155,A,A,0,12.32,0.32,10.72,436.68,2340.9,21,0.99,11.7,0.0422,0.5,0.75,250.5,7.02,1576.7,497.2,2887.2,6.17,2931,-1,0.4865,0.4865,250,200,0.4669,1,3.86,3.86,1,3.86,2340.9,21,1,7.39,2.341,250,3.8,100.0,0.0,12.2,-,0.0,0.329,1,1.61,0,44481,24155,0,1,3.86,1,-,UPSIZE
179,24326,A,A,0,12.61,0.61,11.01,390.01,2966.1,35,3.82,14.83,0.1289,0.5,0.18,127.0,6.15,1369.6,326.1,203.8,7.75,196,3,0.4795,0.4795,250,200,0.4669,1,1.64,1.64,1,1.64,2966.1,35,1,1.24,2.966,250,4.0,100.0,0.0,25.5,-,0.0,0.249,0,0.0,0,32707,24326,0,1,1.64,1,-,UPSIZE
180,24370,E,E,0,12.87,0.87,11.27,394.71,1322.1,13,-5.1,6.17,-0.3857,0.4667,5.92,1300.9,5.3,1469.7,481.6,470.9,15.61,285,3,0.4009,0.4009,250,250,0.4669,1,1.54,1.54,1,1.54,1322.1,13,1,3.71,0.97,250,0.0,100.0,50.0,65.3,WADI,0.0,0.22,1,1.88,0,24369,24370,0,1,1.54,1,-,DELETE CORRIDOR
181,24927,C,C,0,12.58,0.58,10.98,429.04,3181.2,8,4.61,15.58,0.1448,0.4898,1.46,185.6,16.88,3006.2,1302.4,1341.4,40.16,1021,17,0.4717,0.4717,250,400,0.4669,1,1.26,1.26,1,1.26,3181.2,8,1,7.25,2.975,250,0.0,100.0,0.0,55.7,-,0.0,2.245,0,0.0,0,18705,24927,0,1,1.26,1,-,UPSIZE
182,25193,E,E,0,12.55,0.55,10.95,401.34,1246.6,5,-4.72,6.23,-0.3786,0.5,5.2,1126.3,5.99,1439.1,481.3,26.3,1.19,19,91,0.4556,0.3074,250,200,0.4669,0,-0.09,-1.9,0,-0.09,1246.6,5,1,4.14,1.247,250,0.0,100.0,58.2,96.5,WADI,0.0,1.202,0,0.0,1,21495,25193,0,0,-0.09,1,TRACTIVE,DELETE CORRIDOR
183,27593,C,C,0,14.11,2.11,12.51,382.42,717.0,24,-8.93,3.58,-1.2451,0.5,8.93,717.0,10.79,1911.6,123.3,85.6,3.51,79,0,0.2054,0.2054,400,200,0.4669,0,-1.26,-1.26,0,-1.26,717.0,24,1,0.33,0.717,315,33.6,100.0,0.0,0.0,-,0.0,0.161,0,0.0,1,28166,27593,0,0,-1.26,1,TRACTIVE,NO SEWER / RETHINK
184,28221,C,C,0,13.66,1.66,12.06,395.28,107.9,5,-11.52,0.54,-10.677,0.5,11.52,107.9,21.13,1367.9,36.4,7.6,0.27,8,0,-1.0393,-1.0393,0,200,0.4669,0,-1.58,-1.58,0,-1.58,107.9,5,0,-1.8,0.108,250,19.8,100.0,0.0,0.0,-,0.0,0.108,0,0.0,1,28190,28221,0,0,-1.58,0,GROUND,STATION
185,28246,C,C,0,18.11,6.11,16.51,392.06,128.2,5,-15.87,0.64,-12.3804,0.5,15.87,128.2,17.88,1560.1,36.9,7.6,0.32,7,0,-4.2676,-4.2676,0,200,0.4669,0,-6.02,-6.02,0,-6.02,128.2,5,0,-6.17,0.128,250,24.6,100.0,0.0,0.0,-,0.0,0.128,0,0.0,1,28196,28246,0,0,-6.02,0,GROUND,STATION
186,28254,E,E,1,13.83,1.83,12.23,403.95,68.2,3,-11.89,0.34,-17.4294,0.5,11.89,68.2,29.81,1536.9,50.5,9.7,0.32,9,0,-2.1808,-2.1808,0,200,0.4669,0,-1.76,-1.76,0,-18.22,196.4,7,0,-18.11,0.068,250,74.0,100.0,0.0,0.0,LINK,0.0,0.068,0,0.0,1,28246,28246,1,0,-1.76,0,GROUND,DELETE CORRIDOR
187,28503,C,C,0,12.04,0.04,10.44,371.76,1390.1,35,-3.49,6.95,-0.2513,0.5,3.49,1390.1,5.01,1858.5,139.7,266.1,9.7,246,0,0.4968,0.4968,250,200,0.4669,1,2.04,2.04,1,2.04,1390.1,35,1,5.26,1.39,250,14.5,100.0,0.0,29.2,-,0.0,0.614,0,0.0,0,28916,28503,0,1,2.04,1,-,UPSIZE
188,30031,B,B,0,12.25,0.25,10.65,377.04,1667.6,27,-2.31,8.34,-0.1388,0.5,2.31,1667.6,0.0,0.0,363.4,123.4,3.86,96,0,0.4849,0.4849,250,200,0.4669,1,1.58,1.58,1,1.58,1667.6,27,1,6.23,1.668,250,10.3,100.0,0.0,28.6,-,0.0,0.815,0,0.0,1,30312,30031,0,1,1.58,1,-,UPSIZE
189,30829,C,C,0,37.38,25.38,35.78,420.51,1011.7,3,-30.72,5.06,-3.0367,0.5,30.72,1011.7,40.24,1527.5,978.8,0.0,0.0,0,0,-2.0087,-4.6112,0,200,0.4669,0,-24.99,-24.99,0,-24.99,1011.7,3,0,-21.68,1.012,250,0.0,100.0,0.0,0.0,-,0.0,1.012,0,0.0,1,30833,30829,0,0,-24.99,0,GROUND,STATION
190,33901,A,A,0,12.36,0.36,10.76,402.71,2239.9,49,0.44,11.2,0.0197,0.5,0.6,136.7,0.0,0.0,216.3,373.3,13.0,292,3,0.484,0.484,250,200,0.4669,1,3.94,3.94,1,3.94,2239.9,49,1,6.42,2.24,250,11.5,100.0,0.0,24.5,-,0.0,0.576,0,0.0,0,33761,33901,0,1,3.94,1,-,UPSIZE
191,34489,B,B,0,12.08,0.08,10.48,368.61,1666.9,35,-2.15,8.33,-0.1288,0.5,2.9,705.5,0.54,197.4,243.5,44.3,1.52,41,16,0.4951,0.4951,250,200,0.4669,1,0.52,0.52,1,0.52,1666.9,35,1,6.4,1.667,250,11.2,100.0,3.8,72.2,-,0.0,1.632,0,0.0,1,34467,34489,0,1,0.52,1,-,UPSIZE
192,34941,C,C,0,15.07,3.07,13.47,375.74,1318.9,40,-6.87,6.59,-0.5212,0.5,6.94,1171.7,7.07,1595.0,173.0,236.4,8.1,236,1,0.2673,0.2673,400,200,0.4669,0,-1.98,-1.98,0,-1.98,1318.9,40,1,1.94,1.319,400,13.8,100.0,0.0,58.8,-,0.0,0.815,0,0.0,0,35290,34941,0,0,-1.98,1,TRACTIVE,STATION
193,36110,E,E,0,12.18,0.18,10.58,385.4,748.5,19,-6.84,3.74,-0.9133,0.5,7.51,537.8,7.62,1428.1,137.8,8.6,0.35,13,9,0.4761,0.1466,250,200,0.4669,1,0.12,-2.05,1,0.12,748.5,19,1,2.4,0.748,250,44.3,100.0,0.0,36.4,LINK,0.0,0.748,0,0.0,1,36191,36110,0,1,0.12,1,-,DELETE CORRIDOR
194,36203,C,C,0,12.08,0.08,10.48,418.1,1972.7,29,-0.62,9.86,-0.0312,0.5,2.1,573.2,2.58,1059.9,423.1,32.9,1.44,77,2,0.496,0.496,250,200,0.4669,1,0.62,0.62,1,0.62,1972.7,29,1,7.7,1.973,250,8.1,100.0,0.0,88.9,-,0.0,1.4,0,0.0,1,36219,36203,0,1,0.62,1,-,UPSIZE
195,36392,B,B,0,12.16,0.16,10.56,415.01,1255.2,24,-4.28,6.28,-0.3409,0.5,4.28,1255.2,0.0,0.0,410.7,2.2,0.16,6,2,0.4876,0.4876,250,200,0.4669,1,0.31,0.31,1,0.31,1255.2,24,1,4.58,1.255,250,9.8,100.0,0.0,91.2,-,0.0,1.255,0,0.0,1,36789,36392,0,1,0.31,1,-,UPSIZE
